,action,position_type,entry_price,entry_time,stop_loss,take_profit,exit_price,pnl,exit_time
46,stop_loss,long,150.582,2023-11-15 04:35:00,150.62321428571428,150.78092857142857,150.612,-1.0,2023-11-15 04:40:00
47,sell,short,148.351,2023-11-20 18:40:00,148.44217857142857,148.1990357142857,,,
48,stop_loss,short,148.351,2023-11-20 19:00:00,148.25549999999998,148.1990357142857,148.266,-1.0,2023-11-20 19:05:00
49,sell,short,147.392,2023-11-21 06:05:00,147.5285,147.1645,,,
50,stop_loss,short,147.392,2023-11-21 06:35:00,147.38178571428574,147.1645,147.452,-1.0,2023-11-21 06:40:00
51,sell,short,148.07,2023-11-22 01:05:00,148.14007142857142,147.95321428571427,,,
52,stop_loss,short,148.07,2023-11-22 01:15:00,148.0672142857143,147.95321428571427,148.077,-1.0,2023-11-22 01:20:00
53,buy,long,149.591,2023-11-23 20:40:00,149.57160714285715,149.62332142857142,,,
54,stop_loss,long,149.591,2023-11-23 21:00:00,149.57160714285715,149.62332142857142,149.568,-1.0,2023-11-23 21:05:00
55,buy,long,148.26,2023-11-28 05:40:00,148.16528571428572,148.41785714285714,,,
56,stop_loss,long,148.26,2023-11-28 06:15:00,148.16528571428572,148.41785714285714,148.165,-1.0,2023-11-28 06:20:00
57,sell,short,147.553,2023-11-28 19:50:00,147.66646428571428,147.36389285714287,,,
58,stop_loss,short,147.553,2023-11-28 20:05:00,147.66646428571428,147.36389285714287,147.668,-1.0,2023-11-28 20:10:00
59,sell,short,144.238,2023-12-13 21:05:00,144.43964285714287,143.90192857142858,,,
60,take_profit,short,144.238,2023-12-13 21:05:00,144.13042857142858,143.90192857142858,143.74,1.5,2023-12-13 21:10:00
61,sell,short,141.479,2023-12-14 18:50:00,141.6617857142857,141.17435714285716,,,
62,stop_loss,short,141.479,2023-12-14 18:55:00,141.6617857142857,141.17435714285716,141.667,-1.0,2023-12-14 19:00:00
63,sell,short,144.267,2023-12-19 16:40:00,144.44785714285715,143.96557142857142,,,
64,take_profit,short,144.267,2023-12-19 16:40:00,144.44785714285715,143.96557142857142,143.963,1.5,2023-12-19 16:45:00
65,sell,short,142.461,2023-12-22 22:55:00,142.50353571428573,142.39010714285715,,,
66,take_profit,short,142.461,2023-12-22 23:50:00,142.41935714285714,142.39010714285715,142.216,1.5,2023-12-22 23:55:00
67,buy,long,149.766,2023-10-18 11:05:00,149.72796428571428,149.82939285714284,,,
68,stop_loss,long,149.766,2023-10-18 11:20:00,149.72796428571428,149.82939285714284,149.723,-1.0,2023-10-18 11:25:00
